"date","tavg_cincy","tmin_cincy","tmax_cincy","prcp_cincy","snow_cincy","wspd_cincy","pres_cincy","tavg_columbus","tmin_columbus","tmax_columbus","wspd_columbus","pres_columbus","prcp_columbus","tavg_cleveland","tmin_cleveland","tmax_cleveland","prcp_cleveland","snow_cleveland","wspd_cleveland","pres_cleveland"
2021-02-05,0.7,-2.9,3.6,0,0,24.8,1008.3,-0.6,-5.1,2.9,21.2,1008.6,1.4,-1.8,-4,3.8,0.5,3,36.9,1003.3
2021-02-06,-0.7,-6.3,3.6,0,0,10.8,1017.3,-3.9,-7.1,-0.1,8.1,1018.6,0,-6.6,-10.1,-4,0,0,24,1016.9
2021-02-07,-5.1,-10.2,-1.8,0,0,15.8,1021.5,-7.7,-11.1,-5.1,13.2,1022.4,0.1,-7.5,-11.2,-5.7,0.3,3,22.1,1020.5
2021-02-08,-5.2,-9,3.1,8.1,0,10.4,1024.7,-5.5,-11.1,-0.1,5.7,1026.6,0.8,-7.7,-11.2,-4.5,0,3,10.1,1027.3
2021-02-09,-2.1,-4.6,-0.7,5.6,23,11.9,1024.3,-3.5,-6.1,-2.1,8.1,1025.8,6.6,-5.1,-9,-4,1.3,3,10.5,1025.5
2021-02-10,-5,-6.3,-4.6,7.4,18,19.4,1024.9,-6.3,-8.1,-5.1,9.2,1027.6,2.3,-7.1,-10.1,-5.7,1.5,5,12,1028.5
2021-02-11,-5.5,-6.8,-2.9,0,23,23,1024.9,-5.3,-7.1,-3.1,13,1026.2,2,-5.2,-6.2,-3.4,0,5,16.6,1028.2
2021-02-12,-4,-6.8,0.3,0.3,20,16.9,1023.7,-3.8,-6.1,-2.1,10.2,1024.6,0,-3.8,-5.7,-1.8,0,5,16.1,1025.9
2021-02-13,-3.5,-4,-2.9,0,18,15.5,1021.6,-3.4,-4.1,-3.1,9,1022.7,0,-3.6,-5.1,-2.3,0,3,15.9,1022.8
2021-02-14,-4.3,-6.3,-2.4,0,15,18.4,1025.6,-4.9,-6.1,-3.1,12.2,1026.9,0.1,-4.6,-5.1,-3.4,0,3,13.9,1026.5
2021-02-15,-6.5,-8.5,-5.7,10.7,15,23.4,1018.1,-5.1,-7.1,-3.1,14.6,1019.4,18.7,-4.7,-5.7,-3.4,8.9,3,24.9,1021.6
2021-02-16,-8.5,-14.6,-6.3,0.8,20,14.8,1016.9,-7.9,-16.1,-4.1,13.3,1016.1,2.2,-6.2,-9.5,-4,3,13,29.4,1012.4
2021-02-17,-9.6,-15.2,-4.6,0.5,20,11.9,1027.6,-10.7,-18.1,-4.1,7,1029.4,0.4,-8.6,-12.3,-5.7,0,15,12.2,1029.6
2021-02-18,-4.8,-6.3,-1.8,2.3,25,13.3,1023.5,-4,-6.1,-2.1,6.9,1024.2,2.8,-3.7,-5.7,-2.3,3,13,12.9,1025.2
2021-02-19,-4.6,-11.8,-2.4,0,23,14,1026.7,-5.1,-8.1,-3.1,10.9,1026.9,0,-4.7,-7.3,-2.3,0,18,19.2,1023.5
2021-02-20,-6.1,-12.9,0.9,0,20,9.4,1030.1,-8.3,-16.1,-2.1,9.4,1031.5,0,-6.9,-9,-4,0.3,18,18.7,1028
2021-02-21,-2.8,-7.9,5.9,0,20,18.4,1026.4,-5.6,-17.1,2.9,11.8,1029,0,-3.4,-10.1,2.1,0,18,18.8,1029.5
2021-02-22,4.4,0.9,8.1,1,10,21.6,1012.9,2.6,0.9,3.9,20.2,1013.7,3.8,2.5,0.5,4.3,1.3,10,30.3,1009.1
2021-02-23,5.7,1.4,12.5,0,5,18.4,1012.1,4.1,-1.1,7.9,17.8,1012,0.2,4.6,2.1,6.6,0,8,28.1,1007.2
2021-02-24,9.2,3.6,18.1,0.8,0,21.6,1013.4,7,0.9,16.9,18.2,1014.2,1.4,7.1,1.6,13.8,0,3,30.8,1010.6
2021-02-25,4.6,-0.7,8.6,0,0,12.2,1026,1.7,-1.1,4.9,8.7,1026.8,0,1.1,-0.7,2.7,0,0,12,1025.3
2021-02-26,3.6,-0.2,8.1,0.8,0,16.9,1022.1,2.9,-2.1,7.9,12.2,1024.6,1,3.2,-1.2,6.6,0,0,14.1,1025.2
2021-02-27,9.1,6.4,15.3,0.8,0,12.2,1017,7.3,4.9,11.9,11.4,1017.8,1.4,6.1,4.3,7.7,3.3,0,18.9,1017.4
2021-02-28,12.5,10.3,16.4,52.8,0,12.2,1011.3,11.1,6.9,15.9,12.4,1012.7,38.7,10.4,2.7,16,4.8,0,20.2,1011.5
2021-03-01,7.9,-0.7,11.4,0,0,22.3,1019.4,4.2,-1.1,12.9,20.1,1018.8,10.5,2.7,-1.8,9.3,0,0,30.5,1015.9
2021-03-02,0.8,-4.6,8.1,0,0,10.8,1025.5,-0.6,-5.1,4.9,7.9,1027,0,-1.8,-5.7,2.7,0,0,17.2,1025
2021-03-03,5.2,-2.9,17,0,0,13,1017.1,4.9,-4.1,13.9,10.5,1017.3,0,4.7,1.6,8.2,0,0,18.5,1014.4
2021-03-04,7.4,-0.2,11.4,0,0,20.5,1021.4,2.1,-2.1,6.9,14.3,1021.9,0,0.2,-2.3,2.7,0,0,25.2,1021.5
2021-03-05,1.7,-4,9.2,0,0,12.6,1025.6,-0.7,-6.1,4.9,10.5,1025.7,0,-0.7,-2.3,2.1,0,0,23,1023.8
2021-03-06,3,-2.9,8.6,0,0,11.2,1026.2,0.6,-3.1,5.9,10.3,1026.4,0,0.3,-1.2,1.6,0,0,21.1,1024.4
2021-03-07,2.9,-4,10.9,0,0,8.3,1029.5,-0.3,-5.1,6.9,9.4,1030.1,0,-1,-3.4,1,0,0,12.2,1029.5
2021-03-08,6.9,-2.9,18.6,0,0,12.6,1030.6,5.4,-7.1,16.9,10.6,1031.5,0,7.9,-2.3,17.7,0,0,22.8,1028
